feature,value,set,chem_prop,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,tax_pdm,n_inducing,fold
.kernel.kernels[1].lengthscales.pcp603,59.13188,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp604,107.81843,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp605,100.78219,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp606,113.50031,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp607,133.98508,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp608,77.02303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp609,164.07231,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp610,120.18309,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp611,20.17237,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp612,136.91415,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp613,187.64765,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp614,200.2458,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp615,117.58743,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp617,254.19247,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp618,96.31367,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp619,3.69581,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp620,38.55079,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp621,3.55794,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp622,63.6539,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp623,76.58023,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp624,85.6085,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp625,103.40627,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp626,66.4877,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp628,147.37759,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp630,127.49929,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp631,76.32671,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp632,38.55079,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp633,129.31418,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp634,59.13188,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp636,3.75674,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp637,246.2311,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp638,6.05056,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp639,22.79987,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp640,50.1316,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp641,121.54457,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp642,19.96455,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp643,159.44622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp644,97.84412,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp645,33.36234,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp646,157.52578,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp647,95.57579,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp648,34.78797,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp649,3.63622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp650,2.38657,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp651,114.58138,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp652,89.53821,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp653,110.54893,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp654,103.01661,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp655,101.22906,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp656,49.63187,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp657,124.85406,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp658,6.26622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp659,4.65495,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp660,47.65621,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp661,105.17693,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp662,164.52931,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp663,9.30541,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp664,39.30941,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp665,131.09806,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp666,120.36352,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp667,155.44574,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp668,59.13188,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp669,25.34344,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp670,99.23823,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp671,140.4435,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp672,35.87577,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp673,14.48358,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp674,112.88249,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp675,61.58581,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp676,96.04717,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp677,77.02303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp678,47.65621,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp679,9.06933,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp680,101.03274,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp681,121.81194,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp682,145.22432,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp683,129.1649,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp684,167.98958,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp685,92.02846,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp686,17.80853,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp687,132.30448,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp688,201.35566,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp689,79.31605,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp690,187.2062,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp691,120.72703,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp692,34.90363,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp693,139.08669,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp695,73.99245,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp696,25.96639,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp697,161.99372,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp698,119.32828,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp699,28.30761,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp700,148.24159,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp701,139.08303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp702,118.30496,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp703,10.79764,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp704,178.50254,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp705,2.88791,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp707,90.71174,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp708,3.83806,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp709,143.54838,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp710,135.33692,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp711,169.68126,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp712,145.51941,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp713,42.63191,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp714,22.46976,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp716,141.55164,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp717,4.79159,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp719,4.9183,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp721,105.43254,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp722,128.88921,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp728,9.12218,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp729,55.07445,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp731,128.3333,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp734,174.15039,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp735,142.07551,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp737,31.0066,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp738,174.13876,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp740,93.15732,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp743,33.36622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp749,139.5922,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp750,123.53495,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp752,114.08362,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp755,38.38587,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp756,151.4572,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp757,97.07628,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp758,60.25821,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp759,185.13961,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp761,128.71662,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp763,80.82879,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp764,64.74462,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp770,106.43307,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp771,107.99384,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp773,78.70126,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp776,183.97291,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp777,112.21375,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp779,139.42436,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp780,79.00184,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp782,48.95302,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp784,119.36932,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp785,128.88921,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp791,9.12218,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp792,55.07445,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp794,159.00727,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp797,195.57435,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp798,99.02991,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp800,131.00562,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp801,165.27023,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp803,117.64052,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp806,33.36622,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp812,141.25162,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp813,123.53495,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp815,153.55265,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp818,96.12517,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp819,164.39303,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp820,97.07628,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp821,110.33211,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp822,167.01855,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp824,129.07564,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp826,80.82879,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp827,64.74462,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
.kernel.kernels[1].lengthscales.pcp833,106.43307,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,pcp,molar,occurrence,none,1000,trainvalid
